code,name_fr,etb_code,institution_fr,min1,min1_status,min2,min2_status,min3,min3_status,page
P01MAL01,MEDECINE,C99,RECRUTEMENT NATIONAL,16.65,value,17.15,value,,not_applicable,1
P02MAL01,PHARMACIE,C99,RECRUTEMENT NATIONAL,16.26,value,16.76,value,,not_applicable,1
P03MAL01,MEDECINE DENTAIRE,C99,RECRUTEMENT NATIONAL,16.99,value,17.5,value,,not_applicable,1
D00CAN12,FB SP ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,P73,ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,12.29,value,12.91,value,,not_applicable,1
A00LAL01,SCIENCES ET TECHNOLOGIES,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
A05TCL01,GENIE CIVIL,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
A08TCL01,GENIE DES PROCEDES,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
A16TCL01,ELECTROTECHNIQUE,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
A19TCL01,GENIE MECANIQUE,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
B00LAL01,SCIENCES DE LA MATIERE,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
C01LAL01,INFORMATIQUE,U12,UNIV. ADRAR,10.45,value,10.11,value,,not_applicable,1
C02LAL01,MATHEMATIQUES,U12,UNIV. ADRAR,,NC,,NC,,not_applicable,1
D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,U12,UNIV. ADRAR,11.24,value,12.12,value,,not_applicable,1
D03TCL01,SCIENCES AGRONOMIQUES,U12,UNIV. ADRAR,,NC,,NC,,not_applicable,1
F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",U12,UNIV. ADRAR,10.47,value,11.62,value,,none_assigned,1
G01LAL02,SCIENCES POLITIQUES,U12,UNIV. ADRAR,,NC,,NC,,NC,1
G02LAL01,DROIT,U12,UNIV. ADRAR,,NC,,NC,,NC,1
H01LAL01,LANGUE FRANCAISE,U12,UNIV. ADRAR,11.03,value,11.97,value,12.82,value,1
H06LAL01,LANGUE ANGLAISE,U12,UNIV. ADRAR,,NC,,NC,,NC,1
I17LAL02,SCIENCES HUMAINES,U12,UNIV. ADRAR,10.0,value,10.73,value,,not_applicable,1
I19LAL01,SCIENCES SOCIALES,U12,UNIV. ADRAR,10.33,value,11.11,value,,not_applicable,1
I20LAL01,SCIENCES ISLAMIQUES,U12,UNIV. ADRAR,10.31,value,11.04,value,,not_applicable,1
L00LAL01,LANGUE ET LITTERATURE ARABES,U12,UNIV. ADRAR,,NC,,NC,,not_applicable,1
N05IAL02,ARCHITECTURE,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,2
A00LAL04,SCIENCES ET TECHNOLOGIES,C16,UNIV. CHLEF,10.95,value,,not_applicable,,not_applicable,2
A00TCL03,SCIENCES ET TECHNOLOGIES,C16,UNIV. CHLEF,,NC,,not_applicable,,not_applicable,2
A05TCL01,GENIE CIVIL,C16,UNIV. CHLEF,10.82,value,,not_applicable,,not_applicable,2
A08TCL01,GENIE DES PROCEDES,C16,UNIV. CHLEF,10.21,value,,not_applicable,,not_applicable,2
A16TCL01,ELECTROTECHNIQUE,C16,UNIV. CHLEF,11.39,value,,not_applicable,,not_applicable,2
A19TCL01,GENIE MECANIQUE,C16,UNIV. CHLEF,,NC,,not_applicable,,not_applicable,2
B00LAL03,SCIENCES DE LA MATIERE,C16,UNIV. CHLEF,10.3,value,,not_applicable,,not_applicable,2
C01LAL03,INFORMATIQUE,C16,UNIV. CHLEF,13.67,value,14.33,value,,not_applicable,2
C02LAL03,MATHEMATIQUES,C16,UNIV. CHLEF,10.26,value,10.9,value,,not_applicable,2
D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,C16,UNIV. CHLEF,10.98,value,11.75,value,,not_applicable,2
D03TCL01,SCIENCES AGRONOMIQUES,C16,UNIV. CHLEF,10.56,value,12.36,value,,not_applicable,2
E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,C16,UNIV. CHLEF,,NC,,NC,,not_applicable,2
E03LAL02,GEOLOGIE,C16,UNIV. CHLEF,,NC,,NC,,not_applicable,2
F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",C16,UNIV. CHLEF,10.37,value,11.52,value,13.11,value,2
G01LAL03,SCIENCES POLITIQUES,C16,UNIV. CHLEF,,NC,,NC,,NC,2
G02LAL01,DROIT,C16,UNIV. CHLEF,,NC,,NC,,NC,2
H01LAL03,LANGUE FRANCAISE,C16,UNIV. CHLEF,11.07,value,11.92,value,12.62,value,2
H03IAL24,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS, ANGLAIS)",C16,UNIV. CHLEF,,NC,,NC,,not_applicable,2
H06LAL01,LANGUE ANGLAISE,C16,UNIV. CHLEF,12.4,value,13.21,value,14.14,value,2
I17LAL02,SCIENCES HUMAINES,C16,UNIV. CHLEF,,NC,,NC,,not_applicable,2
I19LAL03,SCIENCES SOCIALES,C16,UNIV. CHLEF,,NC,,NC,,not_applicable,2
J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,C16,UNIV. CHLEF,10.64,value,,not_applicable,,not_applicable,2
L00LAL02,LANGUE ET LITTERATURE ARABES,C16,UNIV. CHLEF,,NC,,NC,,not_applicable,3
N01LAL01,GESTION DES TECHNIQUES URBAINES,C16,UNIV. CHLEF,10.12,value,,not_applicable,,not_applicable,3
N05IAL02,ARCHITECTURE,C16,UNIV. CHLEF,12.96,value,,not_applicable,,not_applicable,3
C01LAL02,INFORMATIQUE,C43,C. UNIV. AFLOU,,NC,,NC,,not_applicable,3
D00LAL04,SCIENCES DE LA NATURE ET DE LA VIE,C43,C. UNIV. AFLOU,,NC,,NC,,not_applicable,3
F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",C43,C. UNIV. AFLOU,,NC,,NC,,NC,3
F03LPL02,MANAGEMENT ELECTRONIQUE DES AFFAIRES,C43,C. UNIV. AFLOU,10.59,value,,not_applicable,,not_applicable,3
G02LAL02,DROIT,C43,C. UNIV. AFLOU,,NC,,NC,,NC,3
H01LAL02,LANGUE FRANCAISE,C43,C. UNIV. AFLOU,,NC,,NC,,NC,3
H06LAL03,LANGUE ANGLAISE,C43,C. UNIV. AFLOU,,NC,,NC,,NC,3
I04LAL01,HISTOIRE ET BIG DATA,C43,C. UNIV. AFLOU,,NC,,not_applicable,,not_applicable,3
I17LAL02,SCIENCES HUMAINES,C43,C. UNIV. AFLOU,,NC,,NC,,not_applicable,3
I19LAL02,SCIENCES SOCIALES,C43,C. UNIV. AFLOU,,NC,,NC,,not_applicable,3
L00LAL01,LANGUE ET LITTERATURE ARABES,C43,C. UNIV. AFLOU,,NC,,NC,,not_applicable,3
A00LAL01,SCIENCES ET TECHNOLOGIES,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A00TCL02,SCIENCES ET TECHNOLOGIES,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A05IAN01,GENIE CIVIL (CONSTRUCTIONS CIVILS ET ENVIRONNEMENT),C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A05IAN02,GENIE CIVIL (VOIRIE ET RESEAUX DIVERS),C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A05TCL01,GENIE CIVIL,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A08TCL01,GENIE DES PROCEDES,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A09IAN04,ELECTROTECHNIQUE,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A15IAN01,TRAVAUX PUBLICS,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A16TCL01,ELECTROTECHNIQUE,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A19TCL01,GENIE MECANIQUE,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,4
B00LAL01,SCIENCES DE LA MATIERE,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,4
B01IPN01,CHIMIE,C18,UNIV. LAGHOUAT,11.18,value,,not_applicable,,not_applicable,4
B02IPN01,PHYSIQUE,C18,UNIV. LAGHOUAT,10.57,value,,not_applicable,,not_applicable,4
C01LAL03,INFORMATIQUE,C18,UNIV. LAGHOUAT,10.88,value,10.04,value,,not_applicable,4
C01TCL02,INFORMATIQUE,C18,UNIV. LAGHOUAT,13.19,value,13.83,value,,not_applicable,4
C02LAL03,MATHEMATIQUES,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,4
CF0LAN01,MATHEMATIQUES APPLIQUEES + SCIENCES ECONOMIQUES,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,4
D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,4
D03TCL01,SCIENCES AGRONOMIQUES,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,4
F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",C18,UNIV. LAGHOUAT,,NC,,NC,,NC,4
F01LPL01,MANAGEMENT DES SYSTEMES D INFORMATIONS DE SANTE,C18,UNIV. LAGHOUAT,12.0,value,,not_applicable,,not_applicable,4
F03LPL01,COMMUNICATION MARKETING ET GESTION DE LA RELATION CLIENT,C18,UNIV. LAGHOUAT,10.02,value,,not_applicable,,not_applicable,4
F04EAN01,SCIENCES ECONOMIQUES (A DISTANCE),C18,UNIV. LAGHOUAT,10.44,value,11.62,value,12.83,value,4
F04LAL01,TRADING ET LES MARCHES FINANCIERS,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,4
G01LAL01,SCIENCES POLITIQUES,C18,UNIV. LAGHOUAT,,NC,,NC,,NC,4
G02LAL03,DROIT,C18,UNIV. LAGHOUAT,,NC,,NC,,NC,4
GG0LAN02,DROIT + SCIENCES POLITIQUES,C18,UNIV. LAGHOUAT,,NC,,NC,,NC,4
H01LAL01,LANGUE FRANCAISE,C18,UNIV. LAGHOUAT,,NC,,NC,,NC,4
H02LAL01,LANGUE ESPAGNOLE,C18,UNIV. LAGHOUAT,11.97,value,,none_assigned,14.51,value,4
H03IAL23,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS, ANGLAIS)",C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,4
H06LAL01,LANGUE ANGLAISE,C18,UNIV. LAGHOUAT,11.24,value,11.94,value,12.77,value,5
I03LAL01,INFORMATION ET COMMUNICATION DE LA SANTE,C18,UNIV. LAGHOUAT,10.17,value,,not_applicable,,not_applicable,5
I10LAL01,SOCIOLOGIE DE LOISIR ET DU VOYAGE,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,5
I17LAL01,SCIENCES HUMAINES,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,5
I19LAL01,SCIENCES SOCIALES,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,5
I20LAL02,SCIENCES ISLAMIQUES,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,5
IC0LAN01,INFORMATIQUE + SCIENCES DE L INFORMATION ET DE LA COMMUNICATION,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,5
IJ0LAN02,ENTRAINEMENT SPORTIF + SCIENCES SOCIALES (PSYCHOLOGIE),C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,5
J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,5
L00LAL02,LANGUE ET LITTERATURE ARABES,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,5
N01IAN01,GESTION DES TECHNIQUES URBAINES,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,5
N01LAL01,GESTION DES TECHNIQUES URBAINES,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,5
N02IAN01,METIERS DE LA VILLE,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,5
N05IAL01,ARCHITECTURE,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,5
NA0LAN01,ARCHITECTURE + GENIE CIVIL,C18,UNIV. LAGHOUAT,13.68,value,,not_applicable,,not_applicable,5
P04VAL01,SCIENCES VETERINAIRES,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,5
A00LAL01,SCIENCES ET TECHNOLOGIES,E09,UNIV. OUM EL BOUAGHI,,NC,,not_applicable,,not_applicable,5
A05TCL01,GENIE CIVIL,E09,UNIV. OUM EL BOUAGHI,,NC,,not_applicable,,not_applicable,5
A08TCL01,GENIE DES PROCEDES,E09,UNIV. OUM EL BOUAGHI,,NC,,not_applicable,,not_applicable,5
A16TCL01,ELECTROTECHNIQUE,E09,UNIV. OUM EL BOUAGHI,,NC,,not_applicable,,not_applicable,5
A19TCL01,GENIE MECANIQUE,E09,UNIV. OUM EL BOUAGHI,,NC,,not_applicable,,not_applicable,5
B00LAL01,SCIENCES DE LA MATIERE,E09,UNIV. OUM EL BOUAGHI,,NC,,not_applicable,,not_applicable,5
C01LAL01,INFORMATIQUE,E09,UNIV. OUM EL BOUAGHI,10.87,value,11.45,value,,not_applicable,5
C02LAL01,MATHEMATIQUES,E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,not_applicable,6
D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,E09,UNIV. OUM EL BOUAGHI,10.6,value,11.82,value,,not_applicable,6
D03TCL01,SCIENCES AGRONOMIQUES,E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,not_applicable,6
E01FPN01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE (FORMATIONS PROFESSIONNALISANTES),E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,not_applicable,6
E01LAL02,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,not_applicable,6
E03LAL01,GEOLOGIE,E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,not_applicable,6
F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",E09,UNIV. OUM EL BOUAGHI,10.25,value,11.36,value,12.61,value,6
F03LPL01,COMMUNICATION MARKETING ET GESTION DE LA RELATION CLIENT,E09,UNIV. OUM EL BOUAGHI,10.04,value,,not_applicable,,not_applicable,6
G01LAL02,SCIENCES POLITIQUES,E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,NC,6
G02LAL01,DROIT,E09,UNIV. OUM EL BOUAGHI,10.0,value,10.18,value,10.94,value,6
H01LAL01,LANGUE FRANCAISE,E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,NC,6
H06LAL01,LANGUE ANGLAISE,E09,UNIV. OUM EL BOUAGHI,11.03,value,11.09,value,11.9,value,6
I17LAL01,SCIENCES HUMAINES,E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,not_applicable,6
I19LAL01,SCIENCES SOCIALES,E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,not_applicable,6
J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,E09,UNIV. OUM EL BOUAGHI,,NC,,not_applicable,,not_applicable,6
K00LAL01,ARTS,E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,not_applicable,6
L00LAL03,LANGUE ET LITTERATURE ARABES,E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,not_applicable,6
N01FPN04,GESTION DES TECHNIQUES URBAINES (FORMATIONS PROFESSIONNALISANTES),E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,not_applicable,6
N01LAL01,GESTION DES TECHNIQUES URBAINES,E09,UNIV. OUM EL BOUAGHI,,NC,,not_applicable,,not_applicable,6
N02FPN06,METIERS DE LA VILLE (DESIGN ET ARCHITECTURE INTERIEURE) (FORMATIONS PROFESSIONNALISANTES),E09,UNIV. OUM EL BOUAGHI,11.1,value,11.8,value,,not_applicable,6
N02FPN07,METIERS DE LA VILLE (INFOGRAPHIE EN ARCHITECTURE) (FORMATIONS PROFESSIONNALISANTES),E09,UNIV. OUM EL BOUAGHI,,NC,,NC,,not_applicable,7
N02FPN09,MANAGEMENT DES PROJETS DE CONSTRUCTION (FORMATIONS PROFESSIONNALISANTES),E09,UNIV. OUM EL BOUAGHI,10.0,value,,not_applicable,,not_applicable,7
N04LAL01,URBANISME,E09,UNIV. OUM EL BOUAGHI,,NC,,not_applicable,,not_applicable,7
N05IAL01,ARCHITECTURE,E09,UNIV. OUM EL BOUAGHI,,NC,,not_applicable,,not_applicable,7
A18TPN03,GENIE INDUSTRIEL (FORMATIONS PROFESSIONNALISANTES),E50,UNIV. OUM EL BOUAGHI – I.S.T.A,11.19,value,11.9,value,,not_applicable,7
A20TPN01,TELECOMMUNICATIONS (FORMATIONS PROFESSIONNALISANTES),E50,UNIV. OUM EL BOUAGHI – I.S.T.A,12.94,value,13.59,value,,not_applicable,7
B02TPN01,PHYSIQUE (FORMATIONS PROFESSIONNALISANTES),E50,UNIV. OUM EL BOUAGHI – I.S.T.A,10.97,value,,not_applicable,,not_applicable,7
D07TPN03,SCIENCES ALIMENTAIRES (FORMATIONS PROFESSIONNALISANTES),E50,UNIV. OUM EL BOUAGHI – I.S.T.A,12.05,value,12.71,value,,not_applicable,7
F00TPN02,SCIENCES DE GESTION SCIENCES FINANCIERES ET COMPTABILITE (FORMATIONS PROFESSIONNALISANTES),E50,UNIV. OUM EL BOUAGHI – I.S.T.A,13.32,value,14.0,value,,none_assigned,7
A00LAL04,SCIENCES ET TECHNOLOGIES,E44,C . UNIV BARIKA,,NC,,not_applicable,,not_applicable,7
C01LAL02,INFORMATIQUE,E44,C . UNIV BARIKA,11.16,value,11.55,value,,not_applicable,7
C02LAL02,MATHEMATIQUES,E44,C . UNIV BARIKA,,NC,,NC,,not_applicable,7
F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",E44,C . UNIV BARIKA,,NC,,NC,,NC,7
G02LAL02,DROIT,E44,C . UNIV BARIKA,,NC,,NC,,NC,7
H01LAL03,LANGUE FRANCAISE,E44,C . UNIV BARIKA,,NC,,NC,,NC,7
H06LAL03,LANGUE ANGLAISE,E44,C . UNIV BARIKA,,NC,,NC,,NC,7
I17LAL02,SCIENCES HUMAINES,E44,C . UNIV BARIKA,,NC,,NC,,not_applicable,7
I19LAL03,SCIENCES SOCIALES,E44,C . UNIV BARIKA,,NC,,NC,,not_applicable,7
L00LAL03,LANGUE ET LITTERATURE ARABES,E44,C . UNIV BARIKA,,NC,,NC,,not_applicable,7
A00CAN12,FB ST ECOLE NAT SUP DES ENERGIES RENOUVELABLES DE ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE BATNA,W92,E.N.S DES ENERGIES RENOUVELABLES DE L ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE BATNA,15.64,value,,not_applicable,,not_applicable,8
P04VAN03,SCIENCES VETERINAIRES,E39,INSTITUT VETERINAIRE UNIV.BATNA 1,13.12,value,14.03,value,,not_applicable,8
B00LAL01,SCIENCES DE LA MATIERE,E08,UNIV. BATNA 1,10.1,value,,not_applicable,,not_applicable,8
D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,E08,UNIV. BATNA 1,10.53,value,12.04,value,,not_applicable,8
D03TCL01,SCIENCES AGRONOMIQUES,E08,UNIV. BATNA 1,,NC,,NC,,not_applicable,8
F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",E08,UNIV. BATNA 1,10.26,value,11.39,value,12.7,value,8
G01LAL01,SCIENCES POLITIQUES,E08,UNIV. BATNA 1,,NC,,NC,,NC,8
G02LAL01,DROIT,E08,UNIV. BATNA 1,10.0,value,10.65,value,11.46,value,8
I04LAL01,HISTOIRE ET BIG DATA,E08,UNIV. BATNA 1,,NC,,not_applicable,,not_applicable,8
I10LAL01,SOCIOLOGIE DE LOISIR ET DU VOYAGE,E08,UNIV. BATNA 1,,NC,,not_applicable,,not_applicable,8
I17LAL01,SCIENCES HUMAINES,E08,UNIV. BATNA 1,,NC,,NC,,not_applicable,8
I19LAL01,SCIENCES SOCIALES,E08,UNIV. BATNA 1,,NC,,NC,,not_applicable,8
I20LAL01,SCIENCES ISLAMIQUES,E08,UNIV. BATNA 1,10.43,value,11.16,value,,not_applicable,8
L00LAL01,LANGUE ET LITTERATURE ARABES,E08,UNIV. BATNA 1,,NC,,NC,,not_applicable,8
M00LAL01,LANGUE ET CULTURE AMAZIGHES,E08,UNIV. BATNA 1,,NC,,NC,,not_applicable,8
N01LAL01,GESTION DES TECHNIQUES URBAINES,E08,UNIV. BATNA 1,,NC,,not_applicable,,not_applicable,8
N02FPN01,MANAGEMENT DES PROJETS DE CONSTRUCTION (FORMATIONS PROFESSIONNALISANTES),E08,UNIV. BATNA 1,10.97,value,,not_applicable,,not_applicable,8
N05IAL01,ARCHITECTURE,E08,UNIV. BATNA 1,12.0,value,,not_applicable,,not_applicable,8
A00LAL01,SCIENCES ET TECHNOLOGIES,E45,UNIV. BATNA 2,10.73,value,,not_applicable,,not_applicable,8
A00TCL01,SCIENCES ET TECHNOLOGIES,E45,UNIV. BATNA 2,11.88,value,,not_applicable,,not_applicable,8
A05TCL01,GENIE CIVIL,E45,UNIV. BATNA 2,11.63,value,,not_applicable,,not_applicable,8
A08TCL01,GENIE DES PROCEDES,E45,UNIV. BATNA 2,,NC,,not_applicable,,not_applicable,8
A16TCL01,ELECTROTECHNIQUE,E45,UNIV. BATNA 2,10.46,value,,not_applicable,,not_applicable,9
A19LAN02,GENIE MECANIQUE (TECHNOLOGIE AUTOMOBILE),E45,UNIV. BATNA 2,12.83,value,,not_applicable,,not_applicable,9
A19TCL01,GENIE MECANIQUE,E45,UNIV. BATNA 2,,NC,,not_applicable,,not_applicable,9
A21FPN01,HYGIENE ET SECURITE INDUSTRIELLE (FORMATIONS PROFESSIONNALISANTES),E45,UNIV. BATNA 2,12.8,value,,not_applicable,,not_applicable,9
A21LAN01,HYGIENE ET SECURITE INDUSTRIELLE,E45,UNIV. BATNA 2,13.15,value,,not_applicable,,not_applicable,9
C01LAL01,INFORMATIQUE,E45,UNIV. BATNA 2,13.43,value,14.09,value,,not_applicable,9
C01TCL01,INFORMATIQUE,E45,UNIV. BATNA 2,14.21,value,14.91,value,,not_applicable,9
C02LAL01,MATHEMATIQUES,E45,UNIV. BATNA 2,10.24,value,10.94,value,,not_applicable,9
E01LAL02,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,E45,UNIV. BATNA 2,,NC,,NC,,not_applicable,9
E03LAL01,GEOLOGIE,E45,UNIV. BATNA 2,,NC,,NC,,not_applicable,9
H01LAL01,LANGUE FRANCAISE,E45,UNIV. BATNA 2,,NC,,NC,,NC,9
H03IAL05,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS, ANGLAIS)",E45,UNIV. BATNA 2,13.16,value,14.26,value,,not_applicable,9
H06LAL01,LANGUE ANGLAISE,E45,UNIV. BATNA 2,12.51,value,13.45,value,14.26,value,9
J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,E45,UNIV. BATNA 2,10.69,value,,not_applicable,,not_applicable,9
PC0LAN02,MEDECINE + INFORMATIQUE,E45,UNIV. BATNA 2,16.81,value,17.71,value,,not_applicable,9
D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,E52,UNIV. BATNA 2 (SCIENCES BIOLOGIQUES),11.79,value,12.74,value,,not_applicable,9
C00CAN03,FB INF ECOLE SUPERIEURE EN SCIENCES ET TECHNOLOGIES DE L INFORMATIQUE ET DU NUMERIQUE BEJAIA,W93,E.S EN SCIENCES ET TECHNOLOGIES DE L INFORMATIQUE ET DU NUMERIQUE BEJAIA,17.45,value,17.79,value,18.15,value,9
A00LAL02,SCIENCES ET TECHNOLOGIES,C19,UNIV. BEJAIA,10.57,value,,not_applicable,,not_applicable,9
A00TCL02,SCIENCES ET TECHNOLOGIES,C19,UNIV. BEJAIA,13.41,value,,not_applicable,,not_applicable,9
A05TCL01,GENIE CIVIL,C19,UNIV. BEJAIA,12.76,value,,not_applicable,,not_applicable,9
A08TCL01,GENIE DES PROCEDES,C19,UNIV. BEJAIA,11.0,value,,not_applicable,,not_applicable,9
A12LAL01,HYDRAULIQUE,C19,UNIV. BEJAIA,11.29,value,,not_applicable,,not_applicable,10
A16TCL01,ELECTROTECHNIQUE,C19,UNIV. BEJAIA,13.02,value,,not_applicable,,not_applicable,10
A19TCL01,GENIE MECANIQUE,C19,UNIV. BEJAIA,10.31,value,,not_applicable,,not_applicable,10
B00LAL01,SCIENCES DE LA MATIERE,C19,UNIV. BEJAIA,,NC,,not_applicable,,not_applicable,10
C01LAL01,INFORMATIQUE,C19,UNIV. BEJAIA,14.99,value,15.73,value,,not_applicable,10
C01TCL02,INFORMATIQUE,C19,UNIV. BEJAIA,15.77,value,16.59,value,,not_applicable,10
C02LAL01,MATHEMATIQUES,C19,UNIV. BEJAIA,,NC,,NC,,not_applicable,10
CF0LAN05,INFORMATIQUE + SCIENCES ECONOMIQUES,C19,UNIV. BEJAIA,14.93,value,,none_assigned,,not_applicable,10
D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,C19,UNIV. BEJAIA,,NC,,NC,,not_applicable,10
D07FPN01,SCIENCES ALIMENTAIRES (FORMATIONS PROFESSIONNALISANTES),C19,UNIV. BEJAIA,10.75,value,,not_applicable,,not_applicable,10
D07IAN01,SCIENCES ALIMENTAIRES,C19,UNIV. BEJAIA,12.49,value,,not_applicable,,not_applicable,10
F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",C19,UNIV. BEJAIA,10.19,value,11.3,value,12.47,value,10
G02LAL01,DROIT,C19,UNIV. BEJAIA,,NC,,NC,,NC,10
GC0LAN02,INFORMATIQUE + DROIT,C19,UNIV. BEJAIA,13.62,value,14.33,value,,not_applicable,10
H01LAL01,LANGUE FRANCAISE,C19,UNIV. BEJAIA,12.92,value,13.77,value,14.76,value,10
H03IAN11,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS, AMAZIGH)",C19,UNIV. BEJAIA,,NC,,NC,,not_applicable,10
H06LAL01,LANGUE ANGLAISE,C19,UNIV. BEJAIA,13.59,value,14.93,value,,none_assigned,10
I17LAL01,SCIENCES HUMAINES,C19,UNIV. BEJAIA,10.23,value,11.8,value,,not_applicable,10
I19LAL01,SCIENCES SOCIALES,C19,UNIV. BEJAIA,10.52,value,11.29,value,,not_applicable,10
J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,C19,UNIV. BEJAIA,11.23,value,,not_applicable,,not_applicable,10
L00LAL01,LANGUE ET LITTERATURE ARABES,C19,UNIV. BEJAIA,,NC,,NC,,not_applicable,10
M00LAL01,LANGUE ET CULTURE AMAZIGHES,C19,UNIV. BEJAIA,10.31,value,11.23,value,,not_applicable,10
N05IAL01,ARCHITECTURE,C19,UNIV. BEJAIA,13.93,value,,not_applicable,,not_applicable,11
NI0LAN01,ARCHITECTURE + SCIENCES SOCIALES (SOCIOLOGIE),C19,UNIV. BEJAIA,14.03,value,,not_applicable,,not_applicable,11
PC0LAN05,MEDECINE + INFORMATIQUE,C19,UNIV. BEJAIA,16.66,value,17.23,value,,not_applicable,11
